,Perguntas,Respostas
1,Possui castração?,"Entendo que a castração seja um desejo seu, porque realmente não está barato! Mas não conseguimos pensar em uma boa maneira de colocar no plano pelo seguinte motivo: A castração é feita uma vez na vida, então um plano que cobre esse procedimento a mensalidade acaba sendo bem mais cara. Achamos um pouco injusto você pagar por vários e vários anos uma mensalidade mais cara por algo que é realizado somente uma vez na vida. Diferente das vacinas, por exemplo, que você precisar fazer todo ano, então faz sentido você pagar mês a mês pra ter.
Além disso, caso algum plano em alguma modalidade ofereça, é preciso considerar a coparticipação e carência. Por isso, uma sugestão seria até mesmo fazer um ´caixinha´ e juntar o valor mês a mês para realizar a castração. Não fica pesado e depois você nunca mais precisa se preocupar."
2,"Possui vacinas?
","Simmm, possuímos vacinas como um adicional. Oferecemos as duas principais vacinas, as ditas ´obrigatórias´, que são a múltipla e a da raiva. Sabemos que existem outras, porém focamos naquelas que são prioridades, já que protegem de doenças mais agressivas. Assim como nós, por exemplo, que nem todo ano tomamos a vacina da gripe, por ser opcional e ser uma doença mais conhecida e branda.
As vacinas são serviços utilizados ano a ano, ou seja, sabemos quando vamos aplicar e quanto custa. Por isso, nosso objetivo com os adicionais é facilitar a sua programação financeira.
Um ponto importante é que, com o adiciona de vacina, você ainda tem o bônus da cobertura em trânsito, que oferece cobertura em território nacional através do reembolso de 85% de tudo o que estiver na nossa cobertura em casos de viagens. Assim, mesmo em locais sem rede credenciada, você terá proteção!"
3,"Cobre o protocolo de vacina?
","Nós oferecemos uma dose de cada vacina. Isto é, uma dose da múltipla e uma dose da raiva. Normalmente, quando filhotinho, o pet precisa de 03 doses da múltipla, espaçadas em 21 dias cada dose, além da dose única da raiva. Isto significa que para a vacina da raiva, você não terá nenhuma outra necessidade. Contudo, para as outras duas doses da múltipla, que o plano não cobre, deverá ser no particular.
Assim como a objeção da castração, o protocolo vacinal é algo que só se faz uma vez na vida. Após isso, nunca mais precisará se preocupar com os gastos extras das doses adicionais. Ou seja, o pet terá mais 12-15 anos pela frente sem precisar se preocupar com as doses da múltipla e da raiva pois o plano irá oferecer."
4,"Preciso de especialistas 
","Entendemos a sua preocupação e necessidade. Mas me permita trazer um outro ponto de vista… mesmo que hoje as suas necessidades envolvam especialistas, isto não evita que demais situações ocorram. É comum, enquanto enfrentamos algum desafio, a gente foque nele e ignore os outros, mas caso ocorra um imprevisto estes custos todos irão se tomar deixando tudo mais difícil. Neste sentido, a proteção contra imprevistos se torna ainda mais importante."
5,O outro é mais barato,"À primeira vista, compreendo que dá a impressão de que o concorrente oferece mais por menos. Mas faz parte do meu trabalho também mostrar o porquê o nosso ponto de vista é diferente. Prazamos por transparência e atendimento ágil, além de uma rede credenciada de altíssima qualidade. Note que nossos estabelecimentos credenciados estão bem distribuídos e localizados e que a maioria é 24h. Isto oferece segurança para você quando for atendida. Outro ponto importante são os benefícios sem limitações e coparticipações abusivas. É muito frustrante descobrir que a coparticipação dos exames de sangue, por exemplo, ficam mais caras do que fazer o exame direto no laboratório, que não precisar de exames frequentes durante um atendimento intensivo e se deparar com limitações. Por esta nossa clareza e foco no produto é que somamos tantas avaliações positivas
"
6,Só quero algo de rotina,"Entendo, o acompanhamento de rotina é mesmo importante e podemos oferecer para você. Contudo preciso compartilhar o ponto de vista do plano e porque montamos ele deste jeito. Julgamos que é muito mais importante estar protegido de eventualidades, afinal, é para proteger do desconhecido que o plano serve. Não sabemos quando, o que e nem quanto vai custar a nossa próxima ida ao veterinário quando nossos pequenos apresentarem algum sintoma, por isso o nosso lema é proteção e por isso oferecemos primeiro isto, para depois oferecer rotina. Afinal, os atendimentos de rotina não conhecidos. Vamos supor que queira fazer um exame de sangue por ano de check-up e uma consulta. Ora, pode fazer quando estiver melhor financeiramente pois conhece exatamente os custos, está sob o seu controle. O que o plano faz, nestes casos, é apenas facilitar o acesso e a programação financeira! "
7,A carência é muito longa,"Entendo que este período de carência pode parecer longo, mas ele é necessário para que nós possamos oferecer o melhor produto para realmente quem quer se proteger de uma eventualidade, evitando assim má utilização de pets que já podem estar doentes e querem utilizar o plano somente para isso. Outro ponto que gostamos de ressaltar é que o seu pet ainda viverá muitos anos, e todos estes anos está protegido com 100% dos benefícios disponíveis para seu pet. "
8,O plano é só para urgência a emergência,"Na verdade, pensamos nisto e reforçamos que urgência podem ser casos do dia a dia, como vômito, diarreia, picada de um inseto, otite, e assim por diante. Ou seja, urgência é qualquer sintoma que o pet apresenta e que precisa da avaliação de um profissional. O que fica de fora no plano de urgência e emergência é aquela consulta de rotina, em que o pet está inteiramente saudável e que a consulta e os exames são apenas para acompanhamento."
9,"Com esse plano é possível fazer exames de rotina anual??
","Simm, mas para isso nós temos um adicional no plano, que no caso é opcional
"
10,Problema preexistente ,"Infelizmente problemas preexistente não conseguimos cobrir. Precisamos ter carências acima de 1 ano para esse tipo de situação, pois sem isso o plano se tornaria inviável. Espero que me entenda! E aproveita a oportunidade para avisar que todos os planos possuem carências para condições preexistente."
11,"Caso seja um tumor benigno, e eu não tenha pressa em tirar, muda alguma coisa?
","Certo, nesses casos também acaba entrando a carência de 1 ano para cirurgias, 6 meses para exames e internação. Mas claro que essa carência extendida é somente para o problema preexistente. Para qualquer outro sintoma que possa vir a ter, não inside essa carência maior."
